Station ID,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency
EVS00001,"4826 Random Rd, City 98, Country",AC Level 2,0.27,9:00-18:00,4.95,35,EVgo,350,"CCS, CHAdeMO",2013,Yes,4.0,7,Annually
EVS00002,"8970 San Francisco Ave, San Francisco",DC Fast Charger,0.19,24/7,4.96,83,EVgo,350,"Tesla, Type 2",2010,Yes,3.9,2,Monthly
EVS00003,"5974 Bangkok Ave, Bangkok",AC Level 2,0.48,6:00-22:00,8.54,24,ChargePoint,50,"Type 2, CCS",2019,No,3.6,9,Annually
EVS00004,"6995 Toronto Ave, Toronto",AC Level 1,0.41,9:00-18:00,13.28,70,Greenlots,350,Type 2,2010,Yes,4.2,7,Monthly
EVS00005,"5704 Mumbai Ave, Mumbai",AC Level 2,0.11,9:00-18:00,9.76,19,EVgo,350,CCS,2015,Yes,3.7,6,Annually
EVS00006,"1545 São Paulo Ave, São Paulo",AC Level 2,0.22,6:00-22:00,2.02,39,Ionity,350,Tesla,2016,Yes,3.2,9,Quarterly
EVS00007,"1390 Moscow Ave, Moscow",AC Level 1,0.40,24/7,2.68,89,ChargePoint,350,"Tesla, CCS",2011,Yes,4.0,4,Annually
EVS00008,"7684 Bangkok Ave, Bangkok",AC Level 2,0.26,24/7,3.63,72,Ionity,350,Tesla,2013,Yes,4.3,9,Annually
EVS00009,"6203 Chicago Ave, Chicago",AC Level 2,0.49,9:00-18:00,6.68,68,Greenlots,350,CCS,2013,No,3.4,1,Monthly
EVS00010,"4339 Beijing Ave, Beijing",AC Level 2,0.37,9:00-18:00,19.13,82,Tesla,150,"CCS, Tesla",2023,No,4.4,5,Quarterly
EVS00011,"7123 Random Rd, City 463, Country",AC Level 1,0.39,9:00-18:00,17.42,59,EVgo,22,"Tesla, CHAdeMO",2013,No,3.7,5,Quarterly
EVS00012,"3932 Moscow Ave, Moscow",AC Level 1,0.17,6:00-22:00,1.88,18,Greenlots,150,"CHAdeMO, CCS",2016,Yes,4.0,5,Annually
EVS00013,"9250 Berlin Ave, Berlin",AC Level 1,0.16,9:00-18:00,11.77,73,ChargePoint,22,Tesla,2012,No,4.0,2,Quarterly
EVS00014,"9047 Chicago Ave, Chicago",AC Level 2,0.16,24/7,3.21,66,Tesla,50,Tesla,2012,Yes,3.5,9,Annually
EVS00015,"3451 Dubai Ave, Dubai",AC Level 2,0.41,24/7,16.70,46,EVgo,350,"CCS, Tesla",2013,Yes,3.4,10,Quarterly
EVS00016,"3518 Dubai Ave, Dubai",AC Level 2,0.34,6:00-22:00,15.84,89,EVgo,22,CCS,2020,No,3.9,9,Quarterly
EVS00017,"3181 Bangkok Ave, Bangkok",AC Level 1,0.17,6:00-22:00,13.18,28,Ionity,350,"CCS, CHAdeMO",2018,No,4.0,3,Annually
EVS00018,"4733 San Francisco Ave, San Francisco",AC Level 1,0.44,24/7,2.05,60,ChargePoint,150,CHAdeMO,2023,No,4.9,7,Annually
